TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
AR	22.711	1.744e-114	12.369	0.997	0.001	1.338e-08
FOXA1	9.643	2.642e-22	7.496	0.925	0.006	8.562e-07
HOXB13	4.843	6.386e-07	10.928	0.890	0.006	1.219e-06
PIAS1	6.239	2.196e-10	9.983	0.889	0.006	1.219e-06
TLE3	3.002	1.339e-03	11.721	0.838	0.019	2.939e-05
SUMO2	3.576	1.747e-04	7.810	0.821	0.020	3.478e-05
FOXM1	4.797	8.055e-07	3.518	0.821	0.020	3.871e-05
NKX3-1	2.337	9.732e-03	10.078	0.928	0.020	3.871e-05
ERF	2.838	2.272e-03	7.513	0.847	0.021	4.293e-05
ERG	4.074	2.307e-05	3.472	0.823	0.022	4.515e-05
ARRB1	2.339	9.668e-03	7.063	0.857	0.026	8.132e-05
HDAC3	1.941	2.615e-02	7.789	0.874	0.030	1.239e-04
MRE11A	2.301	1.071e-02	7.070	0.825	0.031	1.330e-04
PR	2.873	2.035e-03	4.832	0.811	0.033	1.681e-04
ASH2L	2.250	1.224e-02	6.296	0.812	0.038	2.420e-04
NR3C1	1.363	8.637e-02	2.516	0.906	0.063	1.120e-03
CREB1	3.602	1.577e-04	1.140	0.807	0.066	1.302e-03
CASP8AP2	1.566	5.867e-02	2.760	0.798	0.067	1.324e-03
ASCL2	1.557	5.975e-02	3.453	0.797	0.067	1.345e-03
BRCA1	2.460	6.938e-03	1.707	0.792	0.073	1.723e-03
HNF4G	1.113	1.329e-01	5.132	0.863	0.074	1.801e-03
CSNK2A1	1.564	5.893e-02	2.389	0.798	0.074	1.827e-03
TOP1	2.040	2.067e-02	6.953	0.764	0.083	2.577e-03
E2F1	8.220	1.013e-16	0.467	0.812	0.086	2.818e-03
MXD3	1.550	6.058e-02	1.776	0.796	0.087	2.999e-03
ATOH1	1.522	6.399e-02	2.193	0.790	0.088	3.037e-03
ELL2	3.558	1.869e-04	0.586	0.798	0.093	3.590e-03
FEV	1.490	6.806e-02	2.242	0.784	0.095	3.846e-03
ZBTB10	1.530	6.302e-02	1.416	0.791	0.098	4.207e-03
RARG	1.890	2.935e-02	2.289	0.763	0.104	4.993e-03
KDM3A	1.849	3.225e-02	1.920	0.765	0.106	5.421e-03
SOX9	1.530	6.297e-02	1.337	0.778	0.110	5.931e-03
ZNF75A	1.506	6.598e-02	1.200	0.786	0.110	6.048e-03
HOXA1	1.459	7.233e-02	1.260	0.778	0.116	6.979e-03
MEN1	1.707	4.393e-02	2.381	0.749	0.116	7.110e-03
CCDC101	1.747	4.029e-02	2.310	0.749	0.118	7.376e-03
ZNF131	1.610	5.371e-02	0.366	0.813	0.118	7.376e-03
NCAPG	0.865	1.936e-01	2.140	0.815	0.118	7.376e-03
GRHL1	1.367	8.583e-02	2.336	0.766	0.118	7.444e-03
ARID1A	0.541	2.943e-01	6.308	0.891	0.122	8.072e-03
ARNT2	1.394	8.168e-02	1.722	0.769	0.122	8.216e-03
FOXG1	1.320	9.342e-02	2.530	0.759	0.123	8.362e-03
IRF3	1.718	4.286e-02	0.682	0.778	0.124	8.659e-03
NFAT5	1.456	7.269e-02	1.028	0.778	0.126	9.040e-03
RBCK1	1.518	6.448e-02	0.639	0.789	0.127	9.195e-03
SNAPC1	1.549	6.063e-02	0.518	0.796	0.127	9.195e-03
ELF2	1.628	5.175e-02	0.135	0.821	0.127	9.273e-03
BCL3	5.272	6.757e-08	0.218	0.773	0.129	9.672e-03
GMEB1	1.613	5.333e-02	0.070	0.814	0.133	1.067e-02
TDRD3	1.413	7.889e-02	1.087	0.771	0.134	1.085e-02
VEZF1	1.727	4.205e-02	1.030	0.756	0.136	1.129e-02
EPC1	2.015	2.197e-02	0.125	0.787	0.141	1.269e-02
SRC	0.932	1.757e-01	3.930	0.760	0.142	1.288e-02
PHF6	1.482	6.916e-02	0.452	0.782	0.146	1.389e-02
CTBP1	1.375	8.460e-02	3.084	0.735	0.147	1.420e-02
TRRAP	1.603	5.445e-02	1.317	0.742	0.147	1.430e-02
TCOF1	1.442	7.464e-02	0.576	0.776	0.147	1.441e-02
AGO2	1.233	1.087e-01	2.143	0.749	0.150	1.505e-02
ELK4	2.908	1.821e-03	-0.389	0.812	0.152	1.571e-02
WDHD1	1.479	6.957e-02	2.640	0.730	0.153	1.605e-02
BARX1	1.239	1.077e-01	1.543	0.749	0.156	1.697e-02
NPAT	1.322	9.313e-02	0.899	0.760	0.157	1.733e-02
DEAF1	1.511	6.537e-02	0.107	0.787	0.157	1.744e-02
CREB3L4	1.153	1.244e-01	2.412	0.741	0.160	1.855e-02
DROSHA	1.300	9.673e-02	1.046	0.754	0.161	1.867e-02
HES1	0.846	1.989e-01	2.533	0.755	0.162	1.930e-02
KDM5A	3.116	9.174e-04	-0.569	0.805	0.164	1.969e-02
KAT5	2.452	7.112e-03	-0.249	0.784	0.166	2.075e-02
NFYC	1.496	6.733e-02	0.003	0.785	0.168	2.115e-02
ARNTL	1.649	4.957e-02	-0.133	0.787	0.169	2.156e-02
HCFC1	2.566	5.144e-03	-0.503	0.800	0.169	2.170e-02
C17orf49	1.365	8.618e-02	1.714	0.734	0.170	2.198e-02
ASH1L	1.317	9.386e-02	0.629	0.759	0.171	2.254e-02
MORC2	1.233	1.088e-01	-0.055	0.808	0.173	2.312e-02
DLX1	1.168	1.214e-01	1.387	0.742	0.174	2.370e-02
SIX5	2.369	8.921e-03	-0.122	0.765	0.179	2.582e-02
SREBF2	1.299	9.696e-02	0.493	0.757	0.181	2.660e-02
TTF2	0.705	2.404e-01	2.769	0.747	0.184	2.822e-02
KLF10	1.655	4.901e-02	-0.094	0.767	0.186	2.889e-02
GTF2F1	1.417	7.825e-02	0.110	0.764	0.187	2.922e-02
ZBTB26	1.402	8.039e-02	1.019	0.733	0.187	2.939e-02
